Year,Sector_1,Sector_2,Sector_3,Sector_4,Element,Category,Unit,Value
1878,total_industry,total_industry,total_industry,total_industry,Electricity,FinalGJ,GJ,0.0
1878,total_industry,total_industry,total_industry,total_industry,Electricity,PrimaryGJ,GJ,0.0
1878,total_industry,total_industry,total_industry,total_industry,Oil,FinalGJ,GJ,0.0
1878,total_industry,total_industry,total_industry,total_industry,Oil,PrimaryGJ,GJ,0.0
1878,total_industry,total_industry,total_industry,total_industry,Total,GHG,kgCO2,3583446081.25812
1878,total_industry,total_industry,total_industry,total_industry,ValueAdded,ValueAdded,Euros,2238117420.12751
1879,total_industry,total_industry,total_industry,total_industry,Biomass,FinalGJ,GJ,3785267.51868814
1879,total_industry,total_industry,total_industry,total_industry,Biomass,PrimaryGJ,GJ,8230065.33802057
1879,total_industry,total_industry,total_industry,total_industry,Coal,FinalGJ,GJ,33896027.299869
1879,total_industry,total_industry,total_industry,total_industry,Coal,PrimaryGJ,GJ,37521306.4073366
1879,total_industry,total_industry,total_industry,total_industry,DirectHydro,FinalGJ,GJ,1221812.06287491
1879,total_industry,total_industry,total_industry,total_industry,DirectHydro,PrimaryGJ,GJ,1220068.23090263
1879,total_industry,total_industry,total_industry,total_industry,Electricity,FinalGJ,GJ,0.0
1879,total_industry,total_industry,total_industry,total_industry,Electricity,PrimaryGJ,GJ,0.0
1879,total_industry,total_industry,total_industry,total_industry,Oil,FinalGJ,GJ,0.0
1879,total_industry,total_industry,total_industry,total_industry,Oil,PrimaryGJ,GJ,0.0
1879,total_industry,total_industry,total_industry,total_industry,Total,GHG,kgCO2,3706327455.14255
1879,total_industry,total_industry,total_industry,total_industry,ValueAdded,ValueAdded,Euros,2297506826.10881
1880,total_industry,total_industry,total_industry,total_industry,Biomass,FinalGJ,GJ,3912223.90909091
1880,total_industry,total_industry,total_industry,total_industry,Biomass,PrimaryGJ,GJ,8541091.2907123
1880,total_industry,total_industry,total_industry,total_industry,Coal,FinalGJ,GJ,38381930.9736796
1880,total_industry,total_industry,total_industry,total_industry,Coal,PrimaryGJ,GJ,42453150.8040835
1880,total_industry,total_industry,total_industry,total_industry,DirectHydro,FinalGJ,GJ,1320710.06605203
1880,total_industry,total_industry,total_industry,total_industry,DirectHydro,PrimaryGJ,GJ,1320710.06605203
1880,total_industry,total_industry,total_industry,total_industry,Electricity,FinalGJ,GJ,0.0
1880,total_industry,total_industry,total_industry,total_industry,Electricity,PrimaryGJ,GJ,0.0
1880,total_industry,total_industry,total_industry,total_industry,Oil,FinalGJ,GJ,0.0
1880,total_industry,total_industry,total_industry,total_industry,Oil,PrimaryGJ,GJ,0.0
1880,total_industry,total_industry,total_industry,total_industry,Total,GHG,kgCO2,4199719594.36213
1880,total_industry,total_industry,total_industry,total_industry,ValueAdded,ValueAdded,Euros,2583977755.14829
1881,total_industry,total_industry,total_industry,total_industry,Biomass,FinalGJ,GJ,4318023.51053503
1881,total_industry,total_industry,total_industry,total_industry,Biomass,PrimaryGJ,GJ,9022191.80813461
1881,total_industry,total_industry,total_industry,total_industry,Coal,FinalGJ,GJ,44292805.4652479
1881,total_industry,total_industry,total_industry,total_industry,Coal,PrimaryGJ,GJ,48671465.928504
1881,total_industry,total_industry,total_industry,total_industry,DirectHydro,FinalGJ,GJ,1505731.14450893
1881,total_industry,total_industry,total_industry,total_industry,DirectHydro,PrimaryGJ,GJ,1503611.30020736
